id,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,SEMAFORO,NUM_SEMAFORO,GROUP
3120,12,49,34,930,930,65.5,Rojo,2,2
3121,4.2,26.33,18,24000,10462,91.3,Amarillo,1,0
3122,5.9,17.68,10,24000,11000,89.8,Amarillo,1,0
3123,3.7,25.485,10.5,24000,11000,84.85,Amarillo,1,0
3124,4.12,26.95,22,24000,2400,92.3,Amarillo,1,0
3125,4.46,27.37,16,24000,4600,98.5,Amarillo,1,0
3126,45,160.765,46.25,24000,4600,21.6,Rojo,2,0
3127,3.3,31.07,15,24000,4600,55.3,Amarillo,1,0
3128,4.035,50.7,330,3500,1100,67,Rojo,2,2
3129,4.17,30.89,22,1800,840,58.2,Amarillo,1,2
3130,6.93,54.64,75,24000,4600,44.5,Rojo,2,0
3131,5.4,42,61,11000,4600,47.8,Rojo,2,0
3132,5.7,37.6,65.5,11000,2400,49.2,Amarillo,1,0
3133,4,27.89,38,24000,2100,51.1,Amarillo,1,0
3134,2.29,27.89,26,4600,1500,54.5,Amarillo,1,2
3135,3.605,34.57,24,3500,1065,55.4,Amarillo,1,2
3136,4,33.88,26,4600,2400,56.5,Amarillo,1,2
3137,2.464,28.6,20,1100,750,63,Amarillo,1,2
3138,2,28,10,460,240,60,Verde,3,2
3139,2.56,33.25,31,1200,430,53.7,Amarillo,1,2
3140,4.535,30.325,22.5,2400,1500,57.3,Amarillo,1,2
3141,2,30.8,13,1500,390,51.5,Amarillo,1,2
3142,6.09,32.37,31,2100,390,58.9,Amarillo,1,2
3143,5,31.07,31,2400,280,56.3,Amarillo,1,2
3144,67,227.2,140,24000,11000,15,Rojo,2,0
3145,42,138.9,104,24000,11000,30.2,Rojo,2,0
3146,113.335,292.04,175.705,24000,4600,16,Rojo,2,0
3147,66,222.74,125.835,24000,4600,15,Rojo,2,0
3148,24,102.165,114,24000,11000,41,Rojo,2,0
3149,21.335,70.8,27,24000,4600,32.6,Rojo,2,0
3150,2,87.39,57,2100,12750,64.1,Rojo,2,2
3151,2,54,122,24000,24000,68.7,Rojo,2,1
3152,2,12.485,29.5,3828.5,36,97.8,Amarillo,1,2
3153,2,22.275,67.5,9563,1227,94.5,Amarillo,1,0
3154,5.22,23.67,68.5,24196,24196,47.25,Amarillo,1,1
3155,2,25.94,55,6700.5,611,95.55,Amarillo,1,2
3156,2,18.545,10,1238,70,92.5,Amarillo,1,2
3157,2,22.49,10,1500,90,101.7,Amarillo,1,2
3158,2,10,11.25,2755,74,102.6,Amarillo,1,2
3159,2.97,13.12,20,390,390,74.7,Verde,3,2
3160,2.9,15,24,240,230,73.64,Verde,3,2
3161,2,10,10,1361.5,103.5,92.2,Amarillo,1,2
3162,2,10,10,2613,46,103.9,Amarillo,1,2
3163,2,10,10,1690,86,108.3,Amarillo,1,2
3164,15,85.185,14.6,7284,3,119,Rojo,2,2
3165,2.47,27.36,10,40,3,57,Verde,3,2
3166,2,12.96,10,256,3,90.535,Verde,3,2
3167,2,15.96,10,447,3,102.1,Verde,3,2
3168,2,11.02,10,1956,10,115.3,Amarillo,1,2
3169,2,13.02,10,318,3,76.93,Verde,3,2
3170,2,11.87,10,399,3,69.9,Rojo,2,2
3171,2,11.68,10,350,3,64.9,Verde,3,2
3172,2,25.172,10,17,3,51,Verde,3,2
3173,2,29.6,10,80,9.5,48.2,Verde,3,2
3174,2,10,10,490.5,10,53.9,Verde,3,2
3175,2,16.11,10,391.5,10,56.9,Verde,3,2
3176,21.35,196.8,19.15,540.5,3,130.9,Rojo,2,2
3177,3,24.15,18,122,3,71.9,Verde,3,2
3178,2,15.86,10,507.5,10,52.5,Verde,3,2
3179,2,11,10,487.5,3,54,Verde,3,2
3180,8,35.88,15,2400,23,68.665,Amarillo,1,2
3181,2,26.14,10,230,70,64,Verde,3,2
3182,2,13.525,10,24196,9208,67.9,Amarillo,1,0
3183,2,28.635,10,430,90,60.9,Verde,3,2
3184,2,13.925,10,11000,933,67.9,Amarillo,1,0
3185,2,14.01,10,2100,41,70.35,Amarillo,1,2
3186,6.2,18.275,10,155.5,9,88.43,Verde,3,2
3187,2,14.983,10,10462,867,78.9,Amarillo,1,0
3188,6.35,36.34,10,9506,3,93.7,Amarillo,1,0
3189,2,10,10,2909,52,85.25,Amarillo,1,2
3190,2,20.26,10,2143,31,92,Amarillo,1,2
3191,2,13.44,35.75,2155.5,2723,90.8,Amarillo,1,2
3192,2.775,90.348,41,2613,1699,85.2,Rojo,2,2
3193,2,10,10,2142,73,121.2,Amarillo,1,2
3194,2,10.875,10,2547,104,105.15,Amarillo,1,2
3195,2,44.187,52.5,82.5,43,84.7,Rojo,2,2
3196,2,10,11,2271.5,361.5,84.3,Amarillo,1,2
3197,3.685,32.52,10,24000,4600,59.35,Amarillo,1,0
3198,4.02,16.46,24,930,930,84.5,Amarillo,1,2
3199,2.9,17.46,16,750,430,84.595,Verde,3,2
3200,4.32,18.63,20,750,750,79.18,Verde,3,2
3201,2,10,10,3255,435,74.87,Amarillo,1,2
3202,2,10,10,1908,148,76.515,Amarillo,1,2
3203,2,10,10,1226.5,46.5,89.3,Amarillo,1,2
3204,2,10,10,2400,930,101.3,Amarillo,1,2
3205,2,10,10,930,930,102.5,Amarillo,1,2
3206,2,21.07,10,930,240,68,Verde,3,2
3208,2,25.08,28.75,7580,1011.5,104,Amarillo,1,2
3209,2,24.13,30.5,11199,262,97.7,Amarillo,1,0
3210,3.1,28.42,25,24196,24196,92.1,Amarillo,1,1
3211,2,10,20,2007.5,47,86.9,Amarillo,1,2
3212,2.88,17.63,44,2738,200,85.85,Amarillo,1,2
3213,2,10,23.67,230,90,99.2,Verde,3,2
3214,2,30.52,153,205,84,60.85,Amarillo,1,2
3215,2.65,28.13,84,320,70,70.15,Verde,3,2
3216,2.9,24.235,117.75,432.5,21,77.9,Verde,3,2
3217,3.26,26.7512,170.835,6251.5,98.5,104.85,Amarillo,1,2
3218,2,17.505,31,5172,210,68.5,Amarillo,1,2
3219,2,15,20,72.5,41.5,101.35,Verde,3,2
3220,2,17,29,43,40,102.2,Verde,3,2
3221,2,10,14,2561.5,41.5,85.7,Amarillo,1,2
3222,2,10,48,1785,31,85.2,Amarillo,1,2
3223,2.1,16,37,70,43,101.1,Verde,3,2
3224,2,10,30,2400,51,81.9,Amarillo,1,2
3225,2,10,18,91.5,43,99.4,Verde,3,2
3226,2,10,45.5,4024,695,83.2,Amarillo,1,2
3227,2,10,10,230,230,105.2,Verde,3,2
3228,159.925,375.795,122,24000,220,10,Rojo,2,0
3229,2,15.53,16,11000,3255,86.9,Amarillo,1,0
3230,2.28,13.78,16,240,240,74.185,Verde,3,2
3231,3.24,16.59,20,2100,2100,68.9,Amarillo,1,2
3232,3.595,14.04,18,1500,1500,69.4,Amarillo,1,2
3233,2.43,14.03,32,1015,930,67.19,Amarillo,1,2
3234,2.88,14.76,16,930,930,77.55,Amarillo,1,2
3235,3.5,15.455,24,1100,930,68.08,Amarillo,1,2
3236,2.5,30.38,20,3255,186.5,79.95,Rojo,2,2
3237,2,34.42,13,2178,70,82.2,Amarillo,1,2
3238,2,10,28.835,90,40,99.55,Verde,3,2
3239,2,10,16.5,150,90,100.1,Verde,3,2
3240,2,10,17,2755,167,82.45,Amarillo,1,2
3241,2,42.69,33,204.5,397,84.3,Rojo,2,2
3242,2,14.14,26,2310,100,85.5,Amarillo,1,2
3243,2,15.15,22.25,2677.5,200,87.45,Amarillo,1,2
3244,2,14.245,26.25,24000,7639.5,79.3,Amarillo,1,0
3245,2.5,14.9136,20,535,535,60.75,Verde,3,2
3246,2.8,31.2,29.7143,1718,160,106.365,Amarillo,1,2
3247,2,15.9992,12.835,1871,36,86.665,Amarillo,1,2
3248,2.5,12.48,20.5,310,235,75.4,Verde,3,2
3249,3.45,20.3,19.5,430,430,66.55,Verde,3,2
3250,2.79,15.695,21,150,150,73.5,Verde,3,2
3251,3.45,18.48,16,230,230,77.56,Verde,3,2
3252,3.44,17.3,11.5,24000,2454,66.87,Amarillo,1,0
3253,2,10,10,1671,116,85.485,Amarillo,1,2
3254,2,10.1,10,2400,663,85.7,Amarillo,1,2
3255,2.01,12.6,10,230,230,81.1,Verde,3,2
